"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL99132";"";"None";"320.37";"0";"0.39";"4i";"O=C(CS)NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL644717";"Inhibition of Angiotensin I converting enzyme (ND)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";""
"CHEMBL43859";"";"None";"596.06";"2";"0.34";"1b";"C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC(NNC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)C[C@H]1C(=O)O";"Duration";"'='";"0.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL648288";"Time during which ACE inhibition is greater than or equal to 30% in Hog plasma";"F";"BAO_0000366";"cell-free format";"Oryctolagus cuniculus";"CHEMBL3559721";"Plasma";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1124790";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"0.0"
"CHEMBL1560";"CAPTOPRIL";"4.0";"217.29";"0";"0.63";"captopril";"C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"37.03";"0.78";"7.42";"13.97";"0";"CHEMBL648344";"Inhibition of guinea pig serum Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122140";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";"9E-9"
"CHEMBL336756";"";"None";"232.24";"0";"0.71";"CPA";"N#CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O";"K inact";"'='";"0.35";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL649545";"kinact for angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1125348";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"0.35"
"CHEMBL369814";"";"None";"371.46";"0";"2.50";"15";"COC(=O)CSCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL648349";"Concentration required for 50% inhibition of Angiotensin I converting enzyme; NT is Not Tested";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122170";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";""
"CHEMBL177842";"";"None";"454.55";"0";"2.41";"11";"O=C(NC(Cc1ccccc1)C(=O)CSCC(=O)N1CCC[C@@H]1C(=O)O)c1ccccc1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"17.43";"0.34";"5.51";"7.63";"0";"CHEMBL648348";"Concentration required for 50% inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122170";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";"1.2E-8"
"CHEMBL351878";"";"None";"502.64";"1";"4.00";"2R";"O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCC[C@H]1C(=O)O)[C@H](S)Cc1ccccc1";"IC50";"'='";"229.0";"nM";"6.64";"";"";"UO_0000065";"13.21";"0.25";"2.64";"7.66";"0";"CHEMBL648287";"Inhibition of angiotensin converting enzyme (ACE)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128869";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"229.0"
"CHEMBL24614";"";"None";"416.52";"0";"2.72";"4a";"CCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O";"IC50";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"17.59";"0.33";"4.61";"7.06";"0";"CHEMBL648344";"Inhibition of guinea pig serum Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122140";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";"4.7E-8"
"CHEMBL335046";"";"None";"379.42";"0";"1.44";"1";"N#CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O";"K inact";"'='";"0.08";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL649545";"kinact for angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1125348";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"0.08"
"CHEMBL335046";"";"None";"379.42";"0";"1.44";"1";"N#CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"65000.0";"nM";"4.19";"";"";"UO_0000065";"11.04";"0.20";"2.75";"3.51";"0";"CHEMBL649542";"Inhibition of hydrolysis of N-[3-(2-furyl)acryloyll-Phe-Gly-Gly7 by angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1125348";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"65.0"
