"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL311253";"";"None";"732.83";"2";"6.17";"38";"CCCc1nc(CC)c(C(=O)OCCN2C(=O)c3ccccc3C2=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F";"IC50";"'='";"0.2";"nM";"9.70";"";"";"UO_0000065";"13.23";"0.25";"3.53";"6.30";"0";"CHEMBL648492";"Binding affinity for Angiotensin II receptor, type 1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150518";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";"";"";"0.2"
"CHEMBL1824002";"";"None";"521.58";"1";"4.95";"6d";"CCOC(=O)c1cn(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)nc1N(C(C)=O)c1ccc(C)cc1";"IC50";"'='";"3900.0";"nM";"5.41";"";"";"UO_0000065";"10.37";"0.19";"0.46";"4.55";"0";"CHEMBL1826049";"Displacement of [125I][Sar1,Ile8]-AT-II from human recombinant AT1 receptor expressed in HEK293 cells after 120 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821571";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3307715";"";"";"";"3.9"
"CHEMBL1824000";"";"None";"521.58";"1";"4.95";"6b";"CCOC(=O)c1cn(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)nc1N(C(C)=O)c1cccc(C)c1";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"11.11";"0.20";"0.85";"4.87";"0";"CHEMBL1826049";"Displacement of [125I][Sar1,Ile8]-AT-II from human recombinant AT1 receptor expressed in HEK293 cells after 120 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821571";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3307715";"";"";"";"1.6"
"CHEMBL432162";"TASOSARTAN";"2.0";"411.47";"0";"3.42";"tasosartan";"Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"18.21";"0.33";"4.07";"7.45";"0";"CHEMBL650308";"Compound was tested for inhibition against Angiotensin II receptor, type 1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145001";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"32.0"
"CHEMBL432162";"TASOSARTAN";"2.0";"411.47";"0";"3.42";"1 (Tasosartan)";"Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"18.03";"0.33";"4.00";"7.38";"0";"CHEMBL649492";"Compound was tested in vitro for inhibitory activity against human Angiotensin II receptor in cultured preadipocytes";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135844";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"38.0"
"CHEMBL308703";"";"None";"563.67";"1";"4.15";"12j (XH148)";"CCCc1nc(CN2CCN(c3ccccn3)CC2)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1";"IC50";"'='";"4.2";"nM";"8.38";"";"";"UO_0000065";"14.86";"0.27";"4.23";"6.50";"0";"CHEMBL647574";"In vitro binding affinity of compound against Angiotensin II receptor, type 1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127975";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";"";"";"4.2"
"CHEMBL72819";"";"None";"678.82";"2";"5.09";"18b";"CCCc1nc(CN2CCN(c3ccccn3)CC2)c(C(=O)O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"12.11";"0.23";"3.13";"5.97";"0";"CHEMBL647574";"In vitro binding affinity of compound against Angiotensin II receptor, type 1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127975";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";"";"";"6.0"
"CHEMBL1824004";"";"None";"479.54";"1";"5.01";"8";"CCOC(=O)c1cn(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)nc1Nc1cccc(C)c1";"IC50";"'='";"2300.0";"nM";"5.64";"";"";"UO_0000065";"11.76";"0.21";"0.63";"5.10";"0";"CHEMBL1826049";"Displacement of [125I][Sar1,Ile8]-AT-II from human recombinant AT1 receptor expressed in HEK293 cells after 120 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821571";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3307715";"";"";"";"2.3"
"CHEMBL71286";"";"None";"703.86";"2";"8.16";"31";"CCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCC)nc(CC)c2C(=O)OCc2ccccc2-c2ccsc2)c(F)c1";"IC50";"'='";"0.3";"nM";"9.52";"";"";"UO_0000065";"13.53";"0.27";"1.36";"8.17";"0";"CHEMBL648492";"Binding affinity for Angiotensin II receptor, type 1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150518";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";"";"";"0.3"
"CHEMBL70161";"";"None";"705.85";"2";"7.53";"46";"CCCc1nc(CC)c(C(=O)OCCCC(=O)c2ccccc2)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F";"IC50";"'='";"0.1";"nM";"10.00";"";"";"UO_0000065";"14.17";"0.27";"2.47";"7.48";"0";"CHEMBL648492";"Binding affinity for Angiotensin II receptor, type 1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150518";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";"";"";"0.1"
